Identificativo titolo	Titolo	N. Copie disponibili	Serie inv.	N. inventario	Appendice	Sezione	Collocazione	Specificazione	Cod. stato movimento	Stato movimento	Data stima fine movimento	Data fine movimento
46	5: *Socialismo e fascismo, 1931-1939 / G. D. H. Cole. - Bari : Laterza, 1968. - XII, 416 p. ; 21 cm. ((Traduzione di Giulio Veneziani ; prefazione di Margaret Cole ; introduzione di Julius Braunthal.	1	   	5923	null	Soc	335	COL			null	null
1794	*Poesie / Mimmo Vaianella. - \S.l.! : Graficalabra, 1984. - 78 p. ; 22 cm	1	FLT	935	null	Lett	851	VAI			null	null
1888	La *Certosa di Serra S. Bruno / Cesare Mulè. - Catanzaro : Ente provinciale per il turismo, stampa 1962 (Cava dei Tirreni : Arti grafiche Di Mauro). - 117 p., [16] c. di tav. ; 22 cm.	1	FLT	1961	null	Rel	271	MUL			null	null
1889	*Culto a s. Francesco di Paola in Reggio Calabria / Giuseppe Palmenta. - Roma : Dimensione 80, 1983. - 128 p. : ill. ; 21 cm	0	CHS	1746	null	Rel	271	PAL			null	null
1908	*Catanzaro e la riforma tridentina : Nicolo Orazi, 1582-1607 / Alfredo De Girolamo. - Reggio Calabria : Parallelo 38, 1975. - 241 p., [12] c. di tav. : ill. ; 22 cm. ((Seguono appendici.	1	PIA	318	null	Sto	900	DEG			null	null
1922	*Insegnamento pastorale e sociale / Antonio Lanza ; a cura di Pietro Palazzini. - [S.l.] : Conferenza Episcopale Calabra, c1975. - 229 p., [2] c. di tav. : ill. ; 22 cm	1	CHS	2407	null	Rel	282	LAN			null	null
1955	*Parentela ed emigrazione : mutamenti e continuità in una comunità calabrese / Fortunata Piselli ; presentazione di Giovanni Arrighi. - Torino : G. Einaudi, 1981. - XVI, 393 p. ; 18 cm. ((In appendice: Fasi e caratteristiche del fenomeno migratorio, raccolta ed elaborazione dei dati.	1	TRM	1048	null	Soc	304.8	PIS			null	null
1958	La *donna calabrese di ieri e di oggi nella vita e nell'arte / Alfonsino Trapuzzano. - Soveria Mannelli : Rubbettino, [1980]. - 175 p. : ill. ; 24 cm.	0	   	3358	null	CAL	920	TRA	dasollecit	Da sollecitare	22/06/2025	null
1958	La *donna calabrese di ieri e di oggi nella vita e nell'arte / Alfonsino Trapuzzano. - Soveria Mannelli : Rubbettino, [1980]. - 175 p. : ill. ; 24 cm.	0	   	3358	null	CAL	920	TRA	rientrato	Rientrato	15/12/2024	12/12/2024
1967	La *pietà popolare in Calabria / Maffeo Pretto. - Cosenza : Progetto 2000. - 439 p. ; 20 cm.	0	   	3583	null	CAL	248.4	PRE	dasollecit	Da sollecitare	04/04/2024	null
2032	*Movimento cattolico e contadino : indagine su Carlo De Cardona / Silvana Antonioli Cameroni, Giovanni Cameroni. - Milano : Jaca book, 1976. - 284 p. ; 18 cm	1	   	6074	null	Rel	261.7	CAM			null	null
2048	*Mafia, contadini e latifondo nella Calabria tradizionale : le *strutture elementari del sottosviluppo / Pino Arlacchi. - Bologna : Il Mulino, [1980]. - 226 p. : tab., graf. ; 22 cm.	1	FLT	1444	null	Soc	330.94578	ARL			null	null
2084	*Mafia Stato società : conferenza promossa ed organizzata dal Consiglio regionale della Calabria : Reggio Calabria 10-11-12 aprile 1976. - Cosenza : Lerici, 1978. - 380 p. ; 24 cm	2	   	1138	null	Soc	364.106	MAF			null	null
2084	*Mafia Stato società : conferenza promossa ed organizzata dal Consiglio regionale della Calabria : Reggio Calabria 10-11-12 aprile 1976. - Cosenza : Lerici, 1978. - 380 p. ; 24 cm	2	PIA	344	null	Soc	364.106	CON			null	null
